"clube","cartao","atleta"
"Sao Paulo","Amarelo","Antônio Carlos dos Santos Aguiar"
"Sao Paulo","Amarelo","Álvaro Pereira"
"Bahia","Amarelo","Léo Gago"
"Bahia","Amarelo","Cristian Chagas Tarouco"
"Sao Paulo","Amarelo","Rodrigo Caio"
"Sao Paulo","Amarelo","Osvaldo Filho"
"Criciuma","Amarelo","Carlos Eduardo Santos Oliveira"
"Fluminense","Amarelo","Carlos Andrade Souza"
"Criciuma","Amarelo","Sergio Escudero"
"Fluminense","Amarelo","Rafael Sóbis"
"Palmeiras","Amarelo","Wesley Lopes Beltrame"
"Palmeiras","Amarelo","Wellington da Silva Pinto"
"Santos","Amarelo","Gabriel Barbosa"
"Palmeiras","Amarelo","Marcelo Oliveira Ferreira"
"Corinthians","Amarelo","Elias Mendes Trindade"
"Corinthians","Amarelo","Carlos Gilberto do Nascimento Silva"
"Internacional","Amarelo","Willians Domingos Fernandes"
"Internacional","Amarelo","João Afonso"
"Corinthians","Amarelo","Paolo Guerrero"
"Internacional","Amarelo","Paulo Marcos de Jesus Ribeiro"
"Internacional","Amarelo","Wellington do Nascimento Silva"
"Vitoria","Amarelo","Rafael Berger"
"Vitoria","Amarelo","José Welison"
"Vitoria","Amarelo","Richarlyson"
"Sao Paulo","Amarelo","Josef de Souza Dias"
"Sao Paulo","Amarelo","Rodrigo Caio"
"Chapecoense","Amarelo","Rodrigo Biro"
"Sao Paulo","Amarelo","Maicon"
"Chapecoense","Amarelo","Bruno César Pereira da Silva"
"Chapecoense","Amarelo","Rafael Lima"
"Figueirense","Vermelho","Thiago Heleno"
"Figueirense","Amarelo","Nirley da Silva Fonseca"
"Gremio","Amarelo","Zé Roberto"
"Gremio","Amarelo","Marcelo Grohe"
"Gremio","Amarelo","Saimon Pains Tormen"
"Gremio","Amarelo","Pedro Geromel"
"Gremio","Amarelo","Alan Ruiz"
"Gremio","Amarelo","Eduardo Pereira Rodrigues"
"Atletico-MG","Amarelo","Guilherme Milhomem Gusmão"
"Bahia","Amarelo","Cristian Chagas Tarouco"
"Bahia","Amarelo","Henrique Almeida"
"Atletico-MG","Amarelo","Jemerson de Jesus Nascimento"
"Atletico-MG","Amarelo","Marcos Rocha"
"Bahia","Amarelo","Demerson Bruno Costa"
"Bahia","Amarelo","Léo Gago"
"Botafogo-RJ","Amarelo","Lucas Rios Marques"
"Coritiba","Amarelo","Luccas Claro"
"Botafogo-RJ","Amarelo","Júnior César"
"Palmeiras","Amarelo","Lucimar da Silva Ferreira"
"Palmeiras","Amarelo","William Mendieta"
"Cruzeiro","Amarelo","Fábio Deivson Lopes Maciel"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Palmeiras","Amarelo","Henrique Dourado"
"Cruzeiro","Amarelo","Willian Farias"
"Cruzeiro","Amarelo","Egídio de Araújo Pereira Júnior"
"Cruzeiro","Amarelo","Lucas Silva Borges"
"Flamengo","Vermelho","Anderson Sebastião Cardoso"
"Flamengo","Amarelo","Maurício Azevedo Alves"
"Vitoria","Amarelo","José Welison"
"Corinthians","Amarelo","Jadson"
"Athletico-PR","Amarelo","Cleberson Martins de Souza"
"Criciuma","Amarelo","João Vitor Lima Gomes"
"Sport","Amarelo","Wendel Geraldo Maurício e Silva"
"Sport","Amarelo","Rithely"
"Goias","Amarelo","Lucas Pedro de Lima"
"Sport","Amarelo","Patric Cabral Lalau"
"Santos","Amarelo","David Braz"
"Fluminense","Amarelo","Henrique Souza"
"Fluminense","Amarelo","Cícero Santos"
"Figueirense","Amarelo","Rivaldo Barbosa de Souza"
"Figueirense","Amarelo","Marco Antônio Miranda Filho"
"Santos","Amarelo","David Braz"
"Santos","Amarelo","Alison Lopes Ferreira"
"Chapecoense","Amarelo","Rodrigo Biro"
"Criciuma","Vermelho","Sergio Escudero"
"Criciuma","Amarelo","Sergio Escudero"
"Criciuma","Amarelo","João Vitor Lima Gomes"
"Vitoria","Amarelo","Adriano Pagode"
"Criciuma","Amarelo","Sérgio Antônio Borges Júnior"
"Vitoria","Amarelo","Luiz Gustavo"
"Vitoria","Amarelo","Wilson Rodrigues de Moura Júnior"
"Bahia","Amarelo","Léo Gago"
"Internacional","Amarelo","Alan Patrick"
"Bahia","Amarelo","Uelliton da Silva Vieira"
"Internacional","Amarelo","Juan Silveira dos Santos"
"Atletico-MG","Amarelo","Leandro Donizete"
"Atletico-MG","Amarelo","Leonardo Silva"
"Atletico-MG","Amarelo","Victor"
"Goias","Amarelo","David França Oliveira e Silva"
"Sao Paulo","Amarelo","Paulo Henrique Ganso"
"Goias","Amarelo","Erik Nascimento de Lima"
"Palmeiras","Amarelo","Wendel Santana Pereira Santos"
"Corinthians","Amarelo","Paolo Guerrero"
"Palmeiras","Amarelo","Henrique Dourado"
"Athletico-PR","Amarelo","Sueliton Pereira"
"Fluminense","Amarelo","Walter Henrique da Silva"
"Athletico-PR","Amarelo","Deivid Willian da Silva"
"Athletico-PR","Amarelo","Weverton Pereira da Silva"
"Gremio","Amarelo","Matías Rodríguez"
"Coritiba","Amarelo","Luccas Claro"
"Coritiba","Amarelo","Norberto Pereira Marinho Neto"
